Date,Country,New_cases,Confirmed,New_deaths,Deaths,Recovered
22/01/2020,India,0,0,0,0,0
23/01/2020,India,0,0,0,0,0
24/01/2020,India,0,0,0,0,0
25/01/2020,India,0,0,0,0,0
26/01/2020,India,0,0,0,0,0
27/01/2020,India,0,0,0,0,0
28/01/2020,India,0,0,0,0,0
29/01/2020,India,0,0,0,0,0
30/01/2020,India,1,1,0,0,0
31/01/2020,India,4,5,0,0,0
01/02/2020,India,0,5,0,0,0
02/02/2020,India,3,2,0,0,0
03/02/2020,India,1,3,0,0,0
04/02/2020,India,4,7,0,0,0
05/02/2020,India,0,7,0,0,0
06/02/2020,India,0,7,0,0,0
07/02/2020,India,0,7,0,0,0
08/02/2020,India,0,7,0,0,0
09/02/2020,India,0,7,0,0,0
10/02/2020,India,0,7,0,0,0
11/02/2020,India,0,7,0,0,0
12/02/2020,India,0,7,0,0,0
13/02/2020,India,0,7,0,0,0
14/02/2020,India,0,7,0,0,0
15/02/2020,India,0,7,0,0,0
16/02/2020,India,0,7,0,0,3
17/02/2020,India,0,7,0,0,3
18/02/2020,India,0,7,0,0,3
19/02/2020,India,0,7,0,0,3
20/02/2020,India,0,7,0,0,3
21/02/2020,India,0,7,0,0,3
22/02/2020,India,0,7,0,0,3
23/02/2020,India,0,7,0,0,3
24/02/2020,India,0,7,0,0,3
25/02/2020,India,0,7,0,0,3
26/02/2020,India,0,7,0,0,3
27/02/2020,India,0,7,0,0,3
28/02/2020,India,0,7,0,0,3
29/02/2020,India,0,7,0,0,3
01/03/2020,India,0,7,0,0,3
02/03/2020,India,-2,5,0,0,3
03/03/2020,India,4,9,0,0,3
04/03/2020,India,19,28,0,0,3
05/03/2020,India,1,29,0,0,3
06/03/2020,India,2,31,0,0,3
07/03/2020,India,3,34,0,0,3
08/03/2020,India,5,39,0,0,3
09/03/2020,India,5,44,0,0,3
10/03/2020,India,6,50,0,0,4
11/03/2020,India,10,60,0,0,4
12/03/2020,India,13,73,0,0,4
13/03/2020,India,8,81,1,1,4
14/03/2020,India,3,84,1,2,4
15/03/2020,India,23,107,0,2,13
16/03/2020,India,7,114,0,2,13
17/03/2020,India,23,137,1,3,14
18/03/2020,India,14,151,0,3,14
19/03/2020,India,22,173,1,4,15
20/03/2020,India,50,223,0,4,20
21/03/2020,India,60,283,0,4,23
22/03/2020,India,77,360,3,7,27
23/03/2020,India,74,434,2,9,27
24/03/2020,India,85,519,0,9,40
25/03/2020,India,87,606,1,10,43
26/03/2020,India,43,649,3,13,45
27/03/2020,India,75,724,4,17,73
28/03/2020,India,185,909,2,19,84
29/03/2020,India,70,979,6,25,95
30/03/2020,India,92,1071,4,29,102
31/03/2020,India,180,1251,3,32,123
01/04/2020,India,386,1637,6,38,148
02/04/2020,India,328,1965,12,50,191
03/04/2020,India,336,2301,6,56,192
04/04/2020,India,601,2902,12,68,229
05/04/2020,India,472,3374,9,77,229
06/04/2020,India,693,4067,32,109,375
07/04/2020,India,354,4421,5,114,421
08/04/2020,India,853,5274,35,149,506
09/04/2020,India,591,5865,20,169,620
10/04/2020,India,547,6412,30,199,774
11/04/2020,India,1035,7447,40,239,969
12/04/2020,India,909,8356,34,273,1080
13/04/2020,India,796,9152,35,308,1181
14/04/2020,India,1211,10363,31,339,1359
15/04/2020,India,1076,11439,38,377,1432
16/04/2020,India,941,12380,37,414,1768
17/04/2020,India,1007,13387,23,437,2041
18/04/2020,India,991,14378,43,480,2463
19/04/2020,India,1334,15712,27,507,2854
20/04/2020,India,1553,17265,36,543,3273
21/04/2020,India,1336,18601,47,590,3975
22/04/2020,India,1383,19984,50,640,4370
23/04/2020,India,1409,21393,41,681,5012
24/04/2020,India,1684,23077,37,718,5498
25/04/2020,India,1429,24506,57,775,5939
26/04/2020,India,1990,26496,49,824,6523
27/04/2020,India,1396,27892,48,872,7137
28/04/2020,India,1543,29435,62,934,7747
29/04/2020,India,1897,31332,73,1007,8437
30/04/2020,India,1718,33050,67,1074,9068
01/05/2020,India,1993,35043,73,1147,10007
02/05/2020,India,2293,37336,71,1218,10819
03/05/2020,India,2644,39980,83,1301,11775
04/05/2020,India,2553,42533,72,1373,12847
05/05/2020,India,3900,46433,195,1568,14142
06/05/2020,India,2958,49391,126,1694,15331
07/05/2020,India,3561,52952,89,1783,16776
08/05/2020,India,3390,56342,103,1886,17887
09/05/2020,India,3320,59662,95,1981,19301
10/05/2020,India,3277,62939,128,2109,20969
11/05/2020,India,4213,67152,97,2206,22549
12/05/2020,India,3604,70756,87,2293,24420
13/05/2020,India,3525,74281,122,2415,26400
14/05/2020,India,3722,78003,134,2549,27969
15/05/2020,India,3967,81970,100,2649,30258
16/05/2020,India,3970,85940,103,2752,34224
17/05/2020,India,4987,90927,120,2872,36795
18/05/2020,India,5242,96169,157,3029,39233
19/05/2020,India,4970,101139,134,3163,42309
20/05/2020,India,5611,106750,140,3303,45422
21/05/2020,India,5609,112359,132,3435,48553
22/05/2020,India,6088,118447,148,3583,51824
23/05/2020,India,6654,125101,137,3720,54385
24/05/2020,India,6767,131868,147,3867,57692
25/05/2020,India,6977,138845,154,4021,60706
26/05/2020,India,6535,145380,146,4167,64277
27/05/2020,India,6387,151767,170,4337,67749
28/05/2020,India,6566,158333,194,4531,70920
29/05/2020,India,7466,165799,175,4706,82627
30/05/2020,India,7964,173763,265,4971,86936
31/05/2020,India,8380,182143,193,5164,91852
01/06/2020,India,8392,190535,230,5394,95754
02/06/2020,India,8171,198706,204,5598,100285
03/06/2020,India,8909,207615,217,5815,104071
04/06/2020,India,9304,216919,260,6075,108450
05/06/2020,India,9851,226770,273,6348,113233
06/06/2020,India,9887,236657,294,6642,118695
07/06/2020,India,9971,246628,287,6929,123848
08/06/2020,India,9983,256611,271,7200,129095
09/06/2020,India,9987,266598,271,7471,134670
10/06/2020,India,9985,276583,274,7745,135206
11/06/2020,India,9996,286579,357,8102,147195
12/06/2020,India,10956,297535,396,8498,154330
13/06/2020,India,11458,308993,386,8884,162379
